"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"202",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"203",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"204",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"205",1,NA,2,3,4,5,6,7,8,3,3,3,1,4,4,4,4,2,3,1,1,1,4,4,4
"206",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"207",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"208",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"209",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"210",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"211",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"212",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"213",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1
"214",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"215",1,NA,2,3,4,5,6,7,8,4,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"216",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"217",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"218",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"219",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"220",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"221",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"222",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"223",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"224",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"225",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"226",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"227",1,NA,2,3,4,5,6,7,8,6,3,5,1,1,1,1,1,2,3,1,1,1,1,1,1
"228",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"229",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"230",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"231",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"232",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"233",1,NA,2,3,4,5,6,7,8,6,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1
